"Run ID","Scenario name","Model name","Variable name","unit","Flag Category","year","value","meta_Climate Assessment|Peak Warming|Median [MAGICCv7.5.3]","meta_Climate Assessment|Warming in 2100|Median [MAGICCv7.5.3]","meta_Climate Assessment|Year of Peak Warming|Median [MAGICCv7.5.3]","meta_Emissions Diagnostics|Cumulative CCS [2020-2100, Gt CO2]","meta_Emissions Diagnostics|Cumulative CO2 [2020-2100, Gt CO2]","meta_Climate Category|SCI 2025 [Tier I]","meta_Vetting|SCI 2025","meta_Feasibility Concern|Carbon Capture|World|2030","meta_Feasibility Concern|Carbon Capture|World|2035","meta_Feasibility Concern|Carbon Capture|World|2040","meta_Feasibility Concern|Hydropower Capacity|World|2030","meta_Feasibility Concern|Nuclear Capacity|World|2030","meta_Feasibility Concern|Onshore Wind Capacity|World|2030","meta_Feasibility Concern|Solar PV Capacity|World|2030","meta_Feasibility Concern|Wind Capacity|World|2030","meta_Sustainability Concern|Exceeding Prudent Limit For Geological Carbon Storage|World","meta_Sustainability Concern|Food Availability|World","meta_Sustainability Concern|Unsustainable Bioenergy Use|World","meta_Scenario Ensemble|AR6","meta_Climate Category|AR6 [ID]","meta_Climate Category|AR6 [Name]","meta_Legacy Mapping|AR6|Model Name","meta_Legacy Mapping|AR6|Scenario Name","meta_renewablesShare","meta_fossilShare","meta_biomassShare","meta_gfaIncrease","meta_carbonRemoval","meta_eocWarming","meta_peakWarming","meta_Ensemble Weight|SCI 2025 [beta]"
"11","ENGAGE-INDCi2100","AIM/CGE V2.2","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2060,9.9653,"2.520182896988134","2.520182896988134","2100","594.2610406000001","2333.9763219","GW6","failed","medium","ok","ok","medium","high","high","high","high","ok","ok","medium","true","C6","C6: Below 3°C","AIM/CGE 2.2","EN_INDCi2100","18.971106142746745","58.35874868007339","15.428983523776377","4.245967111039363","594.2610406000001","2.520182896988134","2.520182896988134",
"11","ENGAGE-INDCi2100","AIM/CGE V2.2","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2065,10.4399,"2.520182896988134","2.520182896988134","2100","594.2610406000001","2333.9763219","GW6","failed","medium","ok","ok","medium","high","high","high","high","ok","ok","medium","true","C6","C6: Below 3°C","AIM/CGE 2.2","EN_INDCi2100","18.971106142746745","58.35874868007339","15.428983523776377","4.245967111039363","594.2610406000001","2.520182896988134","2.520182896988134",
"11","ENGAGE-INDCi2100","AIM/CGE V2.2","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2070,10.8639,"2.520182896988134","2.520182896988134","2100","594.2610406000001","2333.9763219","GW6","failed","medium","ok","ok","medium","high","high","high","high","ok","ok","medium","true","C6","C6: Below 3°C","AIM/CGE 2.2","EN_INDCi2100","18.971106142746745","58.35874868007339","15.428983523776377","4.245967111039363","594.2610406000001","2.520182896988134","2.520182896988134",
"11","ENGAGE-INDCi2100","AIM/CGE V2.2","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2075,11.221800000000002,"2.520182896988134","2.520182896988134","2100","594.2610406000001","2333.9763219","GW6","failed","medium","ok","ok","medium","high","high","high","high","ok","ok","medium","true","C6","C6: Below 3°C","AIM/CGE 2.2","EN_INDCi2100","18.971106142746745","58.35874868007339","15.428983523776377","4.245967111039363","594.2610406000001","2.520182896988134","2.520182896988134",
"11","ENGAGE-INDCi2100","AIM/CGE V2.2","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2080,11.5503,"2.520182896988134","2.520182896988134","2100","594.2610406000001","2333.9763219","GW6","failed","medium","ok","ok","medium","high","high","high","high","ok","ok","medium","true","C6","C6: Below 3°C","AIM/CGE 2.2","EN_INDCi2100","18.971106142746745","58.35874868007339","15.428983523776377","4.245967111039363","594.2610406000001","2.520182896988134","2.520182896988134",
"11","ENGAGE-INDCi2100","AIM/CGE V2.2","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2085,11.8367,"2.520182896988134","2.520182896988134","2100","594.2610406000001","2333.9763219","GW6","failed","medium","ok","ok","medium","high","high","high","high","ok","ok","medium","true","C6","C6: Below 3°C","AIM/CGE 2.2","EN_INDCi2100","18.971106142746745","58.35874868007339","15.428983523776377","4.245967111039363","594.2610406000001","2.520182896988134","2.520182896988134",
"11","ENGAGE-INDCi2100","AIM/CGE V2.2","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2090,12.0819,"2.520182896988134","2.520182896988134","2100","594.2610406000001","2333.9763219","GW6","failed","medium","ok","ok","medium","high","high","high","high","ok","ok","medium","true","C6","C6: Below 3°C","AIM/CGE 2.2","EN_INDCi2100","18.971106142746745","58.35874868007339","15.428983523776377","4.245967111039363","594.2610406000001","2.520182896988134","2.520182896988134",
"11","ENGAGE-INDCi2100","AIM/CGE V2.2","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2095,12.2937,"2.520182896988134","2.520182896988134","2100","594.2610406000001","2333.9763219","GW6","failed","medium","ok","ok","medium","high","high","high","high","ok","ok","medium","true","C6","C6: Below 3°C","AIM/CGE 2.2","EN_INDCi2100","18.971106142746745","58.35874868007339","15.428983523776377","4.245967111039363","594.2610406000001","2.520182896988134","2.520182896988134",
"11","ENGAGE-INDCi2100","AIM/CGE V2.2","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2100,12.5681,"2.520182896988134","2.520182896988134","2100","594.2610406000001","2333.9763219","GW6","failed","medium","ok","ok","medium","high","high","high","high","ok","ok","medium","true","C6","C6: Below 3°C","AIM/CGE 2.2","EN_INDCi2100","18.971106142746745","58.35874868007339","15.428983523776377","4.245967111039363","594.2610406000001","2.520182896988134","2.520182896988134",
"50","ENGAGE-INDCi2030-2500","COFFEE 1.1","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2010,6.483391631999999,"2.606011221681408","2.606011221681408","2100","274.7521575355","2476.1027563215","GW6","failed","medium","ok","ok","ok","medium","high","high","high","ok",,"high","true","C6","C6: Below 3°C","COFFEE 1.1","EN_INDCi2030_2500","11.575830931762459","79.02840770433018","5.6865168777868105","-2.6727977547354413","274.7521575355","2.606011221681408","2.606011221681408",
"50","ENGAGE-INDCi2030-2500","COFFEE 1.1","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2015,6.3393257232,"2.606011221681408","2.606011221681408","2100","274.7521575355","2476.1027563215","GW6","failed","medium","ok","ok","ok","medium","high","high","high","ok",,"high","true","C6","C6: Below 3°C","COFFEE 1.1","EN_INDCi2030_2500","11.575830931762459","79.02840770433018","5.6865168777868105","-2.6727977547354413","274.7521575355","2.606011221681408","2.606011221681408",
"50","ENGAGE-INDCi2030-2500","COFFEE 1.1","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2020,6.8413189248,"2.606011221681408","2.606011221681408","2100","274.7521575355","2476.1027563215","GW6","failed","medium","ok","ok","ok","medium","high","high","high","ok",,"high","true","C6","C6: Below 3°C","COFFEE 1.1","EN_INDCi2030_2500","11.575830931762459","79.02840770433018","5.6865168777868105","-2.6727977547354413","274.7521575355","2.606011221681408","2.606011221681408",
"50","ENGAGE-INDCi2030-2500","COFFEE 1.1","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2025,8.059264473599999,"2.606011221681408","2.606011221681408","2100","274.7521575355","2476.1027563215","GW6","failed","medium","ok","ok","ok","medium","high","high","high","ok",,"high","true","C6","C6: Below 3°C","COFFEE 1.1","EN_INDCi2030_2500","11.575830931762459","79.02840770433018","5.6865168777868105","-2.6727977547354413","274.7521575355","2.606011221681408","2.606011221681408",
"50","ENGAGE-INDCi2030-2500","COFFEE 1.1","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2030,8.8711619472,"2.606011221681408","2.606011221681408","2100","274.7521575355","2476.1027563215","GW6","failed","medium","ok","ok","ok","medium","high","high","high","ok",,"high","true","C6","C6: Below 3°C","COFFEE 1.1","EN_INDCi2030_2500","11.575830931762459","79.02840770433018","5.6865168777868105","-2.6727977547354413","274.7521575355","2.606011221681408","2.606011221681408",
"50","ENGAGE-INDCi2030-2500","COFFEE 1.1","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2035,9.702851414399998,"2.606011221681408","2.606011221681408","2100","274.7521575355","2476.1027563215","GW6","failed","medium","ok","ok","ok","medium","high","high","high","ok",,"high","true","C6","C6: Below 3°C","COFFEE 1.1","EN_INDCi2030_2500","11.575830931762459","79.02840770433018","5.6865168777868105","-2.6727977547354413","274.7521575355","2.606011221681408","2.606011221681408",
"50","ENGAGE-INDCi2030-2500","COFFEE 1.1","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2040,10.9803905424,"2.606011221681408","2.606011221681408","2100","274.7521575355","2476.1027563215","GW6","failed","medium","ok","ok","ok","medium","high","high","high","ok",,"high","true","C6","C6: Below 3°C","COFFEE 1.1","EN_INDCi2030_2500","11.575830931762459","79.02840770433018","5.6865168777868105","-2.6727977547354413","274.7521575355","2.606011221681408","2.606011221681408",
"50","ENGAGE-INDCi2030-2500","COFFEE 1.1","Final Energy|Residential and Commercial|Electricity","EJ/yr","[object Object]",2045,12.3403300848,"2.606011221681408","2.606011221681408","2100","274.7521575355","2476.1027563215","GW6","failed","medium","ok","ok","ok","medium","high","high","high","ok",,"high","true","C6","C6: Below 3°C","COFFEE 1.1","EN_INDCi2030_2500","11.575830931762459","79.02840770433018","5.6865168777868105","-2.6727977547354413","274.7521575355","2.606011221681408","2.606011221681408",
